2023.03.12 09:25:06 unit2.MyLog loggerInit	INFO  		

------------------------------------------------------------

2023.03.12 09:25:06 unit2.MyLog loggerInit	INFO  		Логирование инициализировано
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Соревнование на полосе препядствий. 🏆
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Участники: Чемпион💪; Программист🤩; Барсик🐈; Кот в сапогах👢; Терминатор Т-800💀; Терминатор Т-1000🤺; R2D2🦽; 
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  START
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 10 км/ч🛴 подошел Чемпион💪.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Чемпион💪 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 10 км/ч🛴 подошел Программист🤩.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Программист🤩 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 10 км/ч🛴 подошел Барсик🐈.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Барсик🐈 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 10 км/ч🛴 подошел Кот в сапогах👢.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Кот в сапогах👢 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 10 км/ч🛴 подошел Терминатор Т-800💀.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Терминатор Т-800💀 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 10 км/ч🛴 подошел Терминатор Т-1000🤺.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Терминатор Т-1000🤺 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 10 км/ч🛴 подошел R2D2🦽.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  R2D2🦽 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Барьер (1м)🚧 подошел Чемпион💪.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Чемпион💪 перепрыгнул успешно
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Барьер (1м)🚧 подошел Программист🤩.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Программист🤩 перепрыгнул успешно
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Барьер (1м)🚧 подошел Барсик🐈.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Барсик🐈 перепрыгнул успешно
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Барьер (1м)🚧 подошел Кот в сапогах👢.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Кот в сапогах👢 перепрыгнул успешно
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Барьер (1м)🚧 подошел Терминатор Т-800💀.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Терминатор Т-800💀 перепрыгнул успешно
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Барьер (1м)🚧 подошел Терминатор Т-1000🤺.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Терминатор Т-1000🤺 перепрыгнул успешно
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Барьер (1м)🚧 подошел R2D2🦽.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  R2D2🦽 не перелез ❌
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 20 км/ч🛴🛴 подошел Чемпион💪.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Чемпион💪 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 20 км/ч🛴🛴 подошел Программист🤩.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Программист🤩 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 20 км/ч🛴🛴 подошел Барсик🐈.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Барсик🐈 не выдержал темпа. ❌
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 20 км/ч🛴🛴 подошел Кот в сапогах👢.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Кот в сапогах👢 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 20 км/ч🛴🛴 подошел Терминатор Т-800💀.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Терминатор Т-800💀 не выдержал темпа. ❌
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Беговая дорожка 20 км/ч🛴🛴 подошел Терминатор Т-1000🤺.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Терминатор Т-1000🤺 пробежал успешно!
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Кактус (2м)🎋 подошел Чемпион💪.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Чемпион💪 перепрыгнул успешно
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Кактус (2м)🎋 подошел Программист🤩.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Программист🤩 не перелез ❌
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  К препядствию Кактус (2м)🎋 подошел Кот в сапогах👢.
2023.03.12 09:25:06 unit2.Competition <init>	WARNING  Кот в сапогах👢 перепрыгнул успешно
